Experiment	Z spectroscopy	
Saved Date	16.02.2019 17:35:14	
User		
X (m)	75.6695E-9	
Y (m)	15.3828E-9	
Z (m)	-16.9806E-9	
Z offset (m)	700E-12	
Z sweep distance (m)	1.12E-9	
Settling time (s)	10E-3	
Integration time (s)	60E-3	
Final Z (m)	N/A	
Start time	16.02.2019 17:33:53	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	Z (m)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)
700.00000E-12	-228.21784E-15	0.0000000E+0	-16.280579E-9	-2.1226957E+0	49.684146E-12	-394.86057E-3	224.61578E-6	-222.70681E-15	0.0000000E+0	-16.280579E-9	-2.0370893E+0	43.200450E-12	-157.60767E-3	233.71358E-6
697.75552E-12	-243.35305E-15	0.0000000E+0	-16.282824E-9	2.6570466E+0	53.373785E-12	16.823379E-3	177.71515E-6	-231.92909E-15	0.0000000E+0	-16.282824E-9	-3.1822600E+0	45.743839E-12	-114.89216E-3	182.67894E-6
695.51104E-12	-255.79707E-15	0.0000000E+0	-16.285068E-9	4.1229420E+0	49.657906E-12	224.34443E-3	208.37606E-6	-243.32259E-15	0.0000000E+0	-16.285068E-9	2.5137734E+0	48.614536E-12	335.86660E-3	137.11343E-6
693.26656E-12	-233.01004E-15	0.0000000E+0	-16.287313E-9	5.8828125E+0	48.868357E-12	510.62775E-3	227.17413E-6	-236.40101E-15	0.0000000E+0	-16.287313E-9	-574.27317E-3	55.194245E-12	12.973130E-3	76.028162E-6
691.02207E-12	-240.75788E-15	0.0000000E+0	-16.289556E-9	1.0852274E+0	52.205781E-12	180.34895E-3	188.26121E-6	-241.62985E-15	0.0000000E+0	-16.289556E-9	-2.5915165E+0	54.371729E-12	-122.95223E-3	104.39267E-6
688.77754E-12	-252.31428E-15	0.0000000E+0	-16.291802E-9	-154.04764E-3	55.260810E-12	48.415165E-3	136.55743E-6	-238.98391E-15	0.0000000E+0	-16.291802E-9	-3.4566445E+0	50.591129E-12	-64.257652E-3	158.20752E-6
686.53305E-12	-247.61473E-15	0.0000000E+0	-16.294045E-9	2.7603805E+0	45.877854E-12	391.89479E-3	242.34717E-6	-224.31492E-15	0.0000000E+0	-16.294045E-9	3.1033256E+0	42.595628E-12	530.00784E-3	225.68823E-6
684.28857E-12	-228.12646E-15	0.0000000E+0	-16.296291E-9	4.2535586E+0	47.311859E-12	622.86276E-3	235.15224E-6	-243.50156E-15	0.0000000E+0	-16.296291E-9	73.889337E-3	51.166134E-12	205.03443E-3	123.81152E-6
682.04409E-12	-243.41526E-15	0.0000000E+0	-16.298534E-9	-1.2376765E+0	44.746980E-12	189.01347E-3	277.26521E-6	-244.66079E-15	0.0000000E+0	-16.298534E-9	1.6867000E+0	51.733510E-12	340.00582E-3	124.38923E-6
679.79961E-12	-242.62282E-15	0.0000000E+0	-16.300779E-9	-3.5730956E+0	50.302016E-12	-69.871008E-3	227.80419E-6	-239.97053E-15	0.0000000E+0	-16.300779E-9	-246.64091E-3	49.813376E-12	115.14882E-3	147.10362E-6
677.55512E-12	-266.38167E-15	0.0000000E+0	-16.303023E-9	-2.0451224E+0	56.732050E-12	-69.758281E-3	145.81556E-6	-232.05938E-15	0.0000000E+0	-16.303023E-9	-1.5637398E+0	48.564094E-12	6.5168473E-3	156.41002E-6
675.31064E-12	-246.40091E-15	0.0000000E+0	-16.305268E-9	480.78138E-3	54.269509E-12	149.03128E-3	151.68036E-6	-243.04590E-15	0.0000000E+0	-16.305268E-9	-1.5236850E+0	46.416815E-12	27.766671E-3	169.48099E-6
673.06616E-12	-220.23011E-15	0.0000000E+0	-16.307512E-9	-4.9460831E+0	55.939642E-12	-411.18827E-3	117.62683E-6	-242.62916E-15	0.0000000E+0	-16.307512E-9	3.7637401E+0	55.457052E-12	460.89518E-3	75.771342E-6
670.82162E-12	-226.44683E-15	0.0000000E+0	-16.309757E-9	-69.371387E-3	55.793113E-12	-45.431506E-3	94.673298E-6	-227.91914E-15	0.0000000E+0	-16.309757E-9	787.46927E-3	54.406875E-12	115.10581E-3	111.38595E-6
668.57714E-12	-236.15563E-15	0.0000000E+0	-16.312001E-9	1.5894700E+0	47.811425E-12	96.006498E-3	177.79134E-6	-234.15490E-15	0.0000000E+0	-16.312001E-9	-2.5761287E+0	45.276411E-12	-103.74298E-3	205.27403E-6
666.33266E-12	-217.93828E-15	0.0000000E+0	-16.314246E-9	3.1442897E+0	51.257911E-12	309.83961E-3	138.94493E-6	-238.67041E-15	0.0000000E+0	-16.314246E-9	2.7996762E+0	48.130982E-12	319.62854E-3	162.78829E-6
664.08817E-12	-251.88909E-15	0.0000000E+0	-16.316491E-9	-3.7768424E+0	45.927220E-12	-316.87415E-3	207.62419E-6	-248.11270E-15	0.0000000E+0	-16.316491E-9	-5.6101432E+0	46.412506E-12	-380.29030E-3	174.05895E-6
661.84369E-12	-243.35601E-15	0.0000000E+0	-16.318735E-9	1.5982772E+0	52.062857E-12	154.35906E-3	143.94462E-6	-247.76914E-15	0.0000000E+0	-16.318735E-9	-1.4130383E+0	44.410864E-12	50.701007E-3	178.67253E-6
659.59921E-12	-232.36824E-15	0.0000000E+0	-16.320980E-9	103.16482E-3	54.463531E-12	14.829069E-3	100.59083E-6	-229.52514E-15	0.0000000E+0	-16.320980E-9	1.0875903E+0	46.535779E-12	297.03167E-3	139.32287E-6
657.35473E-12	-263.56437E-15	0.0000000E+0	-16.323224E-9	5.0260572E+0	51.700928E-12	544.72148E-3	120.27747E-6	-239.79370E-15	0.0000000E+0	-16.323224E-9	-1.6785542E+0	56.930821E-12	43.520276E-3	28.810759E-6
655.11024E-12	-247.19842E-15	0.0000000E+0	-16.325469E-9	355.24148E-3	51.979417E-12	217.09836E-3	111.45381E-6	-241.44708E-15	0.0000000E+0	-16.325469E-9	1.3961710E+0	53.194438E-12	328.85960E-3	96.621072E-6
652.86576E-12	-222.98562E-15	0.0000000E+0	-16.327713E-9	-3.5724330E+0	50.135434E-12	-187.71330E-3	123.40177E-6	-234.57671E-15	0.0000000E+0	-16.327713E-9	-218.67602E-3	49.932065E-12	147.68156E-3	124.68493E-6
650.62122E-12	-250.70278E-15	0.0000000E+0	-16.329958E-9	-308.51704E-3	40.624917E-12	49.612604E-3	244.10230E-6	-229.52725E-15	0.0000000E+0	-16.329958E-9	805.60631E-3	52.247758E-12	227.03056E-3	104.80864E-6
648.37674E-12	-243.24263E-15	0.0000000E+0	-16.332201E-9	-3.6539178E+0	45.138417E-12	-306.17511E-3	230.29344E-6	-231.97858E-15	0.0000000E+0	-16.332201E-9	1.1832230E+0	51.830110E-12	221.55401E-3	120.51831E-6
646.13226E-12	-246.90184E-15	0.0000000E+0	-16.334447E-9	240.29563E-3	48.278107E-12	454.21437E-6	201.92096E-6	-239.08799E-15	0.0000000E+0	-16.334447E-9	1.0242039E+0	52.121057E-12	183.51074E-3	129.37355E-6
643.88778E-12	-242.32455E-15	0.0000000E+0	-16.336690E-9	-864.67278E-3	55.785307E-12	-88.236950E-3	119.62141E-6	-230.48130E-15	0.0000000E+0	-16.336690E-9	473.51933E-3	56.638520E-12	136.69358E-3	93.592258E-6
641.64329E-12	-242.77428E-15	0.0000000E+0	-16.338936E-9	4.7365794E+0	54.137434E-12	451.80723E-3	117.33316E-6	-239.99888E-15	0.0000000E+0	-16.338936E-9	-783.45084E-3	55.826174E-12	51.078901E-3	127.60991E-6
