Experiment	Z spectroscopy	
Saved Date	16.02.2019 17:35:14	
User		
X (m)	75.6695E-9	
Y (m)	15.3828E-9	
Z (m)	-16.9806E-9	
Z offset (m)	700E-12	
Z sweep distance (m)	1.12E-9	
Settling time (s)	10E-3	
Integration time (s)	60E-3	
Final Z (m)	N/A	
Start time	16.02.2019 17:33:53	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	Z (m)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)
639.39881E-12	-242.08847E-15	0.0000000E+0	-16.341179E-9	1.8436216E+0	52.173325E-12	327.29670E-3	124.41262E-6	-224.68555E-15	0.0000000E+0	-16.341179E-9	1.2611158E+0	46.218283E-12	196.62960E-3	233.25380E-6
637.15433E-12	-234.40662E-15	0.0000000E+0	-16.343424E-9	-2.3647888E+0	54.706469E-12	-98.828658E-3	84.209183E-6	-228.00249E-15	0.0000000E+0	-16.343424E-9	5.5444016E+0	49.258035E-12	500.92101E-3	190.54062E-6
634.90985E-12	-226.79586E-15	0.0000000E+0	-16.345670E-9	-2.2911482E+0	49.668374E-12	-114.41654E-3	130.41930E-6	-224.45709E-15	0.0000000E+0	-16.345670E-9	3.6556327E+0	44.491834E-12	191.37558E-3	230.03560E-6
632.66536E-12	-243.77825E-15	0.0000000E+0	-16.347913E-9	-3.4000454E+0	45.192863E-12	-325.63657E-3	190.81210E-6	-230.65856E-15	0.0000000E+0	-16.347913E-9	-482.69638E-3	54.458365E-12	-210.58278E-3	117.16582E-6
630.42083E-12	-239.55084E-15	0.0000000E+0	-16.350159E-9	2.2593901E+0	44.771457E-12	180.17940E-3	213.17726E-6	-249.65482E-15	0.0000000E+0	-16.350159E-9	-4.5998707E+0	48.048784E-12	-504.50182E-3	202.95368E-6
628.17634E-12	-247.75223E-15	0.0000000E+0	-16.352402E-9	3.0372126E+0	49.919447E-12	360.11523E-3	167.72980E-6	-252.38327E-15	0.0000000E+0	-16.352402E-9	616.13947E-3	47.216817E-12	2.5654591E-3	196.36338E-6
625.93186E-12	-230.20843E-15	0.0000000E+0	-16.354647E-9	-4.5639353E+0	48.929496E-12	-341.21966E-3	180.58468E-6	-244.60664E-15	0.0000000E+0	-16.354647E-9	703.16887E-3	57.066601E-12	-8.6420076E-3	96.695629E-6
623.68738E-12	-236.34306E-15	0.0000000E+0	-16.356891E-9	-955.01626E-3	48.673322E-12	-104.46589E-3	192.22821E-6	-233.22414E-15	0.0000000E+0	-16.356891E-9	674.77882E-3	52.324905E-12	-37.473448E-3	169.65471E-6
621.44290E-12	-240.67665E-15	0.0000000E+0	-16.359136E-9	-3.3425670E+0	47.319652E-12	-381.22731E-3	212.84967E-6	-234.66260E-15	0.0000000E+0	-16.359136E-9	2.6702557E+0	50.696992E-12	35.652258E-3	189.53349E-6
619.19841E-12	-246.66957E-15	0.0000000E+0	-16.361380E-9	5.6157398E+0	49.202226E-12	412.85986E-3	198.74315E-6	-270.14453E-15	0.0000000E+0	-16.361380E-9	-2.0177524E+0	50.623599E-12	-329.98934E-3	190.69861E-6
616.95393E-12	-254.82188E-15	0.0000000E+0	-16.363625E-9	-2.0865946E+0	55.199189E-12	-205.53429E-3	121.34637E-6	-232.16685E-15	0.0000000E+0	-16.363625E-9	-1.3110936E+0	55.438584E-12	-248.69654E-3	147.00110E-6
614.70939E-12	-259.59589E-15	0.0000000E+0	-16.365869E-9	-2.5773525E+0	53.078323E-12	-281.77854E-3	128.41681E-6	-220.68449E-15	0.0000000E+0	-16.365869E-9	2.0757155E+0	50.829028E-12	23.608139E-3	214.82389E-6
612.46491E-12	-231.29911E-15	0.0000000E+0	-16.368114E-9	-3.5571346E+0	44.871520E-12	-487.02148E-3	224.47151E-6	-232.22057E-15	0.0000000E+0	-16.368114E-9	532.89568E-3	46.350836E-12	-132.41319E-3	253.12573E-6
610.22043E-12	-233.65356E-15	0.0000000E+0	-16.370358E-9	-3.5927508E+0	42.040656E-12	-579.05704E-3	279.92023E-6	-232.08350E-15	0.0000000E+0	-16.370358E-9	1.6802766E+0	49.959554E-12	-42.239781E-3	203.89231E-6
607.97595E-12	-231.50939E-15	0.0000000E+0	-16.372603E-9	-658.22750E-3	47.978899E-12	-355.01149E-3	233.26302E-6	-236.80973E-15	0.0000000E+0	-16.372603E-9	-4.1668577E+0	49.814115E-12	-493.68170E-3	203.42119E-6
605.73146E-12	-255.54789E-15	0.0000000E+0	-16.374846E-9	4.1681032E+0	50.136787E-12	131.06465E-3	212.44325E-6	-228.30373E-15	0.0000000E+0	-16.374846E-9	1.0762317E+0	55.979950E-12	-22.877181E-3	150.63246E-6
603.48698E-12	-232.27050E-15	0.0000000E+0	-16.377092E-9	2.3825316E+0	57.962610E-12	54.648768E-3	115.80678E-6	-234.64526E-15	0.0000000E+0	-16.377092E-9	-2.1674502E+0	45.257832E-12	-303.84666E-3	267.42643E-6
601.24250E-12	-244.54063E-15	0.0000000E+0	-16.379337E-9	-1.1318839E+0	62.519115E-12	-249.18959E-3	25.341580E-6	-224.92502E-15	0.0000000E+0	-16.379337E-9	1.0209360E+0	43.100287E-12	3.7858642E-3	269.55333E-6
598.99802E-12	-236.99207E-15	0.0000000E+0	-16.381581E-9	-1.4001422E+0	53.448267E-12	-310.39038E-3	92.393093E-6	-226.62326E-15	0.0000000E+0	-16.381581E-9	1.4352658E+0	54.687053E-12	-48.167050E-3	139.53594E-6
596.75354E-12	-220.40991E-15	0.0000000E+0	-16.383826E-9	7.8432922E+0	51.751162E-12	611.15229E-3	102.26676E-6	-231.61009E-15	0.0000000E+0	-16.383826E-9	-479.90561E-3	53.141894E-12	-211.60606E-3	172.86396E-6
594.50900E-12	-262.28921E-15	0.0000000E+0	-16.386069E-9	1.3988837E+0	52.901416E-12	187.02599E-3	83.735635E-6	-248.44184E-15	0.0000000E+0	-16.386069E-9	2.4424148E+0	47.039300E-12	1.9938359E-3	237.04478E-6
592.26452E-12	-241.08959E-15	0.0000000E+0	-16.388315E-9	4.1579113E+0	49.906725E-12	517.36528E-3	104.70263E-6	-241.27743E-15	0.0000000E+0	-16.388315E-9	51.519576E-3	49.813449E-12	-189.56985E-3	198.12677E-6
590.02003E-12	-231.03427E-15	0.0000000E+0	-16.390558E-9	-544.16341E-3	49.903102E-12	183.78600E-3	111.42083E-6	-242.90333E-15	0.0000000E+0	-16.390558E-9	3.5811882E+0	48.636775E-12	43.791369E-3	212.69455E-6
587.77555E-12	-235.32852E-15	0.0000000E+0	-16.392804E-9	-1.6100763E+0	45.714724E-12	-6.0462053E-3	165.10453E-6	-232.46512E-15	0.0000000E+0	-16.392804E-9	-2.0710728E+0	50.728484E-12	-494.39585E-3	186.91133E-6
585.53107E-12	-228.92945E-15	0.0000000E+0	-16.395047E-9	-75.685315E-3	47.722427E-12	74.265167E-3	157.14862E-6	-233.01004E-15	0.0000000E+0	-16.395047E-9	-3.6504655E+0	51.722262E-12	-518.79650E-3	180.74366E-6
583.28659E-12	-233.58586E-15	0.0000000E+0	-16.397292E-9	4.2067418E+0	53.595926E-12	554.84080E-3	90.847127E-6	-234.27335E-15	0.0000000E+0	-16.397292E-9	-1.2851481E+0	51.003906E-12	-241.25287E-3	195.39119E-6
581.04210E-12	-234.04193E-15	0.0000000E+0	-16.399536E-9	-737.40643E-3	48.389348E-12	158.39045E-3	140.50034E-6	-216.03951E-15	0.0000000E+0	-16.399536E-9	361.73770E-3	39.973753E-12	-81.564747E-3	297.70570E-6
578.79762E-12	-247.53393E-15	0.0000000E+0	-16.401781E-9	-2.1712523E+0	49.527396E-12	-3.6191996E-3	134.75756E-6	-222.13988E-15	0.0000000E+0	-16.401781E-9	4.1660461E+0	48.450015E-12	217.78174E-3	186.21076E-6
576.55314E-12	-234.81068E-15	0.0000000E+0	-16.404025E-9	-984.91436E-3	50.418260E-12	34.958936E-3	125.44922E-6	-236.53429E-15	0.0000000E+0	-16.404025E-9	2.1500084E+0	52.610347E-12	-67.474477E-3	143.97134E-6
574.30860E-12	-245.63262E-15	0.0000000E+0	-16.406270E-9	319.84425E-3	53.810657E-12	120.18581E-3	85.849737E-6	-223.43112E-15	0.0000000E+0	-16.406270E-9	-1.5516005E+0	46.484358E-12	-391.83563E-3	209.32581E-6
572.06412E-12	-256.58018E-15	0.0000000E+0	-16.408514E-9	-132.79454E-3	49.817019E-12	101.36748E-3	118.14396E-6	-218.81998E-15	0.0000000E+0	-16.408514E-9	-6.3313570E+0	46.315847E-12	-730.30019E-3	191.01995E-6
569.81964E-12	-231.49332E-15	0.0000000E+0	-16.410759E-9	-4.9710917E+0	44.669674E-12	-417.85246E-3	191.09776E-6	-239.65576E-15	0.0000000E+0	-16.410759E-9	-77.800512E-3	47.310548E-12	-97.247303E-3	170.84395E-6
567.57515E-12	-251.47533E-15	0.0000000E+0	-16.413004E-9	-2.4650755E+0	53.967539E-12	-327.00574E-3	92.502414E-6	-239.85927E-15	0.0000000E+0	-16.413004E-9	833.27240E-3	51.859010E-12	-10.988311E-3	121.41421E-6
565.33067E-12	-232.24977E-15	0.0000000E+0	-16.415248E-9	-651.75349E-3	53.220400E-12	-192.77038E-3	84.187210E-6	-238.72205E-15	0.0000000E+0	-16.415248E-9	1.0483369E+0	54.791303E-12	-34.196097E-3	105.21019E-6
563.08619E-12	-214.00747E-15	0.0000000E+0	-16.417493E-9	89.736871E-3	51.240050E-12	-161.37527E-3	98.592369E-6	-249.23767E-15	0.0000000E+0	-16.417493E-9	2.2662916E+0	56.270946E-12	35.640847E-3	105.86261E-6
560.84171E-12	-227.70845E-15	0.0000000E+0	-16.419737E-9	-848.43892E-3	51.102362E-12	-252.13444E-3	93.486058E-6	-236.05705E-15	0.0000000E+0	-16.419737E-9	2.4122880E+0	58.822322E-12	-7.5684995E-3	105.43744E-6
558.59717E-12	-231.25089E-15	0.0000000E+0	-16.421982E-9	-4.4348731E+0	53.543767E-12	-620.79549E-3	56.285382E-6	-241.02443E-15	0.0000000E+0	-16.421982E-9	-2.1522880E+0	51.572871E-12	-423.89849E-3	206.30055E-6
556.35274E-12	-230.54055E-15	0.0000000E+0	-16.424226E-9	2.6473529E+0	53.683540E-12	-34.252308E-3	41.759875E-6	-234.08001E-15	0.0000000E+0	-16.424226E-9	-2.3050952E+0	45.808912E-12	-362.28809E-3	258.60922E-6
554.10820E-12	-231.76028E-15	0.0000000E+0	-16.426471E-9	1.3160501E+0	53.555490E-12	-57.943810E-3	29.611456E-6	-230.62558E-15	0.0000000E+0	-16.426471E-9	1.9902395E+0	45.820701E-12	22.631843E-3	242.74511E-6
551.86372E-12	-227.82988E-15	0.0000000E+0	-16.428714E-9	-2.9521585E+0	52.123240E-12	-481.09671E-3	41.354495E-6	-233.01641E-15	0.0000000E+0	-16.428714E-9	4.2171531E+0	48.533597E-12	77.552795E-3	199.63934E-6
549.61924E-12	-236.56560E-15	0.0000000E+0	-16.430960E-9	1.6849531E+0	51.393469E-12	-50.915942E-3	39.178951E-6	-225.34978E-15	0.0000000E+0	-16.430960E-9	1.4465623E+0	50.141093E-12	-235.35806E-3	179.57536E-6
547.37476E-12	-227.07299E-15	0.0000000E+0	-16.433203E-9	325.71900E-3	50.460292E-12	-149.58154E-3	51.235475E-6	-224.79428E-15	0.0000000E+0	-16.433203E-9	-1.8815320E+0	53.000451E-12	-521.62349E-3	151.85444E-6
545.13027E-12	-243.33104E-15	0.0000000E+0	-16.435449E-9	-107.35939E-3	43.212330E-12	-178.78415E-3	135.33908E-6	-219.67207E-15	0.0000000E+0	-16.435449E-9	2.9661658E+0	47.721754E-12	-73.695429E-3	211.38041E-6
542.88579E-12	-232.06025E-15	0.0000000E+0	-16.437692E-9	2.3765533E+0	43.243693E-12	65.117210E-3	165.35398E-6	-224.82558E-15	0.0000000E+0	-16.437692E-9	228.28400E-3	53.349814E-12	-388.53252E-3	148.45651E-6
540.64131E-12	-223.87367E-15	0.0000000E+0	-16.439937E-9	-24.722449E-3	47.849658E-12	-142.99543E-3	131.42405E-6	-227.32895E-15	0.0000000E+0	-16.439937E-9	1.1664189E+0	51.707937E-12	-327.65239E-3	175.33246E-6
538.39677E-12	-244.12094E-15	0.0000000E+0	-16.442183E-9	-6.3605638E+0	46.254868E-12	-695.89537E-3	156.30950E-6	-228.48607E-15	0.0000000E+0	-16.442183E-9	-860.03143E-3	49.283043E-12	-538.28645E-3	204.28300E-6
536.15234E-12	-247.29529E-15	0.0000000E+0	-16.444426E-9	-2.0115051E+0	51.630627E-12	-505.06556E-3	102.81025E-6	-207.91217E-15	0.0000000E+0	-16.444426E-9	-2.8069417E+0	44.080420E-12	-619.82590E-3	250.48497E-6
533.90781E-12	-232.31281E-15	0.0000000E+0	-16.446672E-9	-1.4865237E+0	48.445876E-12	-480.55482E-3	137.42287E-6	-231.06896E-15	0.0000000E+0	-16.446672E-9	-2.6537697E+0	50.856215E-12	-577.14790E-3	164.23175E-6
531.66332E-12	-230.93485E-15	0.0000000E+0	-16.448915E-9	-1.1222742E+0	43.928798E-12	-553.11984E-3	196.01338E-6	-254.26511E-15	0.0000000E+0	-16.448915E-9	-2.9245980E+0	44.906634E-12	-435.19339E-3	225.11274E-6
529.41884E-12	-257.34384E-15	0.0000000E+0	-16.451160E-9	601.81481E-3	44.044185E-12	-370.36127E-3	226.86677E-6	-222.79058E-15	0.0000000E+0	-16.451160E-9	-1.6088650E+0	47.173845E-12	-315.59011E-3	185.17823E-6
527.17436E-12	-237.87122E-15	0.0000000E+0	-16.453404E-9	3.1324279E+0	48.808721E-12	-14.495445E-3	186.53471E-6	-247.53477E-15	0.0000000E+0	-16.453404E-9	841.90392E-3	51.408509E-12	-57.867110E-3	132.76403E-6
524.92988E-12	-236.61807E-15	0.0000000E+0	-16.455649E-9	-204.62479E-3	53.407438E-12	-282.57659E-3	128.86079E-6	-240.47656E-15	0.0000000E+0	-16.455649E-9	4.1576834E+0	51.724569E-12	128.24398E-3	138.30526E-6
522.68539E-12	-233.21015E-15	0.0000000E+0	-16.457893E-9	-3.4465861E+0	47.568685E-12	-622.53958E-3	196.54760E-6	-229.55561E-15	0.0000000E+0	-16.457893E-9	-1.3933026E+0	52.557760E-12	-413.80385E-3	135.52645E-6
520.44091E-12	-243.41651E-15	0.0000000E+0	-16.460138E-9	-3.0380688E+0	53.961051E-12	-703.67426E-3	118.35525E-6	-214.42420E-15	0.0000000E+0	-16.460138E-9	2.4244521E+0	45.644981E-12	-16.469426E-3	210.00442E-6
518.19637E-12	-228.59015E-15	0.0000000E+0	-16.462382E-9	-2.0300820E+0	52.862506E-12	-640.29193E-3	119.86458E-6	-215.41928E-15	0.0000000E+0	-16.462382E-9	1.4275500E+0	44.678369E-12	-152.25127E-3	201.37150E-6
515.95195E-12	-236.39172E-15	0.0000000E+0	-16.464627E-9	-18.091815E-3	49.723954E-12	-494.20461E-3	152.19112E-6	-212.92438E-15	0.0000000E+0	-16.464627E-9	-1.1443049E+0	44.981751E-12	-348.72797E-3	179.87727E-6
513.70741E-12	-240.13471E-15	0.0000000E+0	-16.466871E-9	3.0725338E+0	49.014268E-12	-223.22491E-3	161.36435E-6	-224.03570E-15	0.0000000E+0	-16.466871E-9	755.30082E-3	51.372205E-12	-244.41864E-3	102.97336E-6
511.46293E-12	-258.41213E-15	0.0000000E+0	-16.469116E-9	2.0076530E+0	51.902527E-12	-246.12778E-3	126.40265E-6	-229.26496E-15	0.0000000E+0	-16.469116E-9	2.6142833E+0	55.140895E-12	-113.29419E-3	73.560215E-6
509.21845E-12	-242.69177E-15	0.0000000E+0	-16.471359E-9	4.1151171E+0	46.994575E-12	86.730585E-3	186.25428E-6	-211.46900E-15	0.0000000E+0	-16.471359E-9	4.4025288E+0	50.130535E-12	-19.167524E-3	135.70873E-6
506.97396E-12	-246.39373E-15	0.0000000E+0	-16.473605E-9	-397.52716E-3	46.590082E-12	-273.31060E-3	197.93828E-6	-221.61569E-15	0.0000000E+0	-16.473605E-9	-2.1824818E+0	47.401548E-12	-665.46506E-3	160.47897E-6
504.72948E-12	-237.82300E-15	0.0000000E+0	-16.475850E-9	-1.9430747E+0	42.279479E-12	-429.46100E-3	263.19924E-6	-219.20118E-15	0.0000000E+0	-16.475850E-9	-6.0082202E+0	49.419798E-12	-829.63878E-3	131.88603E-6
502.48500E-12	-236.52328E-15	0.0000000E+0	-16.478094E-9	140.63001E-3	50.863508E-12	-327.62042E-3	188.04854E-6	-235.28453E-15	0.0000000E+0	-16.478094E-9	-4.4912858E+0	45.747264E-12	-575.98829E-3	169.31086E-6
500.24052E-12	-237.03310E-15	0.0000000E+0	-16.480339E-9	980.42381E-3	48.185116E-12	-248.59235E-3	214.57713E-6	-228.20515E-15	0.0000000E+0	-16.480339E-9	-2.3254163E+0	46.414452E-12	-294.64430E-3	142.18867E-6
497.99598E-12	-227.93310E-15	0.0000000E+0	-16.482582E-9	-2.9571476E+0	46.794263E-12	-656.07840E-3	238.55106E-6	-210.51580E-15	0.0000000E+0	-16.482582E-9	195.01138E-3	49.223268E-12	-45.770317E-3	109.07237E-6
495.75150E-12	-242.82887E-15	0.0000000E+0	-16.484828E-9	-1.9528607E+0	43.826144E-12	-616.30189E-3	289.80506E-6	-210.92871E-15	0.0000000E+0	-16.484828E-9	4.1941271E+0	52.169644E-12	202.35693E-3	77.975434E-6
493.50701E-12	-252.67307E-15	0.0000000E+0	-16.487071E-9	1.9946895E+0	49.365803E-12	-245.48042E-3	241.92184E-6	-217.24190E-15	0.0000000E+0	-16.487071E-9	137.29762E-3	50.773896E-12	-156.21848E-3	94.494797E-6
491.26253E-12	-218.68459E-15	0.0000000E+0	-16.489317E-9	2.4237590E+0	53.261666E-12	-116.33042E-3	192.74981E-6	-230.31208E-15	0.0000000E+0	-16.489317E-9	1.4939510E+0	57.853434E-12	-116.30429E-3	32.764161E-6
489.01805E-12	-254.42208E-15	0.0000000E+0	-16.491560E-9	1.3431085E+0	59.303791E-12	-189.53148E-3	105.22315E-6	-239.47977E-15	0.0000000E+0	-16.491560E-9	-4.2181478E+0	57.077829E-12	-553.96354E-3	72.930648E-6
486.77357E-12	-235.61031E-15	0.0000000E+0	-16.493805E-9	-158.83917E-3	60.236441E-12	-267.10060E-3	58.204922E-6	-239.78736E-15	0.0000000E+0	-16.493805E-9	5.8951721E+0	58.219693E-12	302.07056E-3	81.330269E-6
484.52908E-12	-233.00201E-15	0.0000000E+0	-16.496049E-9	-1.5624635E+0	51.233323E-12	-453.15340E-3	138.51916E-6	-214.30404E-15	0.0000000E+0	-16.496049E-9	965.35224E-3	50.227673E-12	-247.32912E-3	189.89369E-6
482.28460E-12	-233.12258E-15	0.0000000E+0	-16.498294E-9	-7.9102979E+0	42.268182E-12	-1.1632770E+0	250.32045E-6	-232.96816E-15	0.0000000E+0	-16.498294E-9	2.9016147E+0	46.425232E-12	-136.95468E-3	225.29111E-6
480.04012E-12	-210.94987E-15	0.0000000E+0	-16.500538E-9	3.7531600E+0	47.254322E-12	-215.63800E-3	216.07833E-6	-234.80011E-15	0.0000000E+0	-16.500538E-9	6.0852208E+0	44.494436E-12	37.740115E-3	222.73387E-6
477.79558E-12	-243.01503E-15	0.0000000E+0	-16.502783E-9	-1.9065143E+0	48.782655E-12	-666.64547E-3	204.70939E-6	-220.72046E-15	0.0000000E+0	-16.502783E-9	-7.3532820E+0	48.160441E-12	-1.1677476E+0	177.38184E-6
475.55110E-12	-260.11460E-15	0.0000000E+0	-16.505027E-9	18.699571E-3	51.705244E-12	-545.34638E-3	170.71210E-6	-237.47099E-15	0.0000000E+0	-16.505027E-9	-5.2548432E+0	48.923778E-12	-773.14329E-3	156.70010E-6
