Experiment	Z spectroscopy	
Saved Date	16.02.2019 17:38:38	
User		
X (m)	75.834E-9	
Y (m)	15.3776E-9	
Z (m)	-16.9806E-9	
Z offset (m)	700E-12	
Z sweep distance (m)	1.12E-9	
Settling time (s)	10E-3	
Integration time (s)	60E-3	
Final Z (m)	N/A	
Start time	16.02.2019 17:37:03	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	Z (m)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)
652.86576E-12	-237.24168E-15	0.0000000E+0	-16.327713E-9	4.7248726E+0	45.749984E-12	503.73894E-3	210.25946E-6	-230.03241E-15	0.0000000E+0	-16.327713E-9	3.8384016E+0	50.707823E-12	573.11487E-3	126.81958E-6
650.62122E-12	-224.95632E-15	0.0000000E+0	-16.329958E-9	-1.8408886E+0	46.400481E-12	-97.729027E-3	220.32771E-6	-228.48184E-15	0.0000000E+0	-16.329958E-9	4.3986764E+0	55.357652E-12	504.85319E-3	78.909405E-6
648.37674E-12	-246.00789E-15	0.0000000E+0	-16.332201E-9	698.04412E-3	54.858118E-12	114.58898E-3	124.30418E-6	-238.25411E-15	0.0000000E+0	-16.332201E-9	776.25680E-3	50.881677E-12	51.047888E-3	143.50745E-6
646.13226E-12	-223.59274E-15	0.0000000E+0	-16.334447E-9	4.0674796E+0	48.635259E-12	509.51993E-3	187.07180E-6	-226.99895E-15	0.0000000E+0	-16.334447E-9	9.6688805E+0	58.177869E-12	710.49958E-3	74.818818E-6
643.88778E-12	-226.04024E-15	0.0000000E+0	-16.336690E-9	285.83786E-3	53.270294E-12	219.06188E-3	129.89788E-6	-224.75409E-15	0.0000000E+0	-16.336690E-9	-3.5222421E+0	57.215677E-12	-591.64900E-3	119.23946E-6
641.64329E-12	-220.85288E-15	0.0000000E+0	-16.338936E-9	3.3935556E+0	53.825323E-12	544.66039E-3	111.07125E-6	-246.27230E-15	0.0000000E+0	-16.338936E-9	-6.9049273E+0	54.528958E-12	-708.70072E-3	168.57129E-6
639.39881E-12	-237.71341E-15	0.0000000E+0	-16.341179E-9	-3.4665239E+0	49.979913E-12	-52.821353E-3	144.71100E-6	-248.92881E-15	0.0000000E+0	-16.341179E-9	-434.95610E-3	45.312719E-12	-53.945247E-3	272.00158E-6
637.15433E-12	-240.35385E-15	0.0000000E+0	-16.343424E-9	-7.0030198E+0	41.649243E-12	-529.70320E-3	247.53922E-6	-238.51472E-15	0.0000000E+0	-16.343424E-9	1.9392191E+0	49.218119E-12	147.48321E-3	215.55684E-6
634.90985E-12	-236.38749E-15	0.0000000E+0	-16.345670E-9	727.67597E-3	47.413181E-12	7.4409810E-3	208.23680E-6	-238.14116E-15	0.0000000E+0	-16.345670E-9	-163.63674E-3	50.072863E-12	-79.897247E-3	202.32830E-6
632.66536E-12	-229.36099E-15	0.0000000E+0	-16.347913E-9	-1.0549518E+0	47.583475E-12	-122.22602E-3	215.52642E-6	-232.81203E-15	0.0000000E+0	-16.347913E-9	814.12774E-3	49.002587E-12	16.412817E-3	217.75540E-6
630.42083E-12	-222.71570E-15	0.0000000E+0	-16.350159E-9	418.83153E-3	49.151232E-12	29.123051E-3	207.75401E-6	-238.68101E-15	0.0000000E+0	-16.350159E-9	771.78085E-3	48.296683E-12	-15.981000E-3	219.96896E-6
628.17634E-12	-229.05977E-15	0.0000000E+0	-16.352402E-9	1.2490577E+0	53.699517E-12	110.32708E-3	152.68190E-6	-236.41074E-15	0.0000000E+0	-16.352402E-9	-1.8021387E+0	46.166841E-12	-252.29153E-3	231.98493E-6
625.93186E-12	-244.20640E-15	0.0000000E+0	-16.354647E-9	803.53707E-3	50.818724E-12	108.22356E-3	178.23299E-6	-226.86567E-15	0.0000000E+0	-16.354647E-9	1.1019790E+0	45.887488E-12	-6.5741492E-3	220.19746E-6
623.68738E-12	-199.12990E-15	0.0000000E+0	-16.356891E-9	-83.594613E-3	45.855843E-12	21.269910E-3	234.15986E-6	-230.20927E-15	0.0000000E+0	-16.356891E-9	1.8596814E+0	50.569104E-12	26.254822E-3	164.94555E-6
621.44290E-12	-243.23460E-15	0.0000000E+0	-16.359136E-9	4.6776619E+0	52.160876E-12	488.49875E-3	175.76154E-6	-231.06303E-15	0.0000000E+0	-16.359136E-9	-350.56898E-3	47.827946E-12	-164.02012E-3	190.26597E-6
619.19841E-12	-239.32576E-15	0.0000000E+0	-16.361380E-9	-799.74973E-3	52.992055E-12	102.27472E-3	151.52806E-6	-226.12995E-15	0.0000000E+0	-16.361380E-9	-6.1037698E+0	48.727158E-12	-608.86437E-3	171.25436E-6
616.95393E-12	-217.18690E-15	0.0000000E+0	-16.363625E-9	-2.5311563E+0	49.580038E-12	-135.63704E-3	184.50734E-6	-242.99174E-15	0.0000000E+0	-16.363625E-9	-2.6567538E+0	42.379947E-12	-151.57874E-3	219.59386E-6
614.70939E-12	-247.49246E-15	0.0000000E+0	-16.365869E-9	-2.4734564E+0	44.062910E-12	-196.85389E-3	262.04850E-6	-248.34624E-15	0.0000000E+0	-16.365869E-9	-2.8489771E+0	50.993730E-12	-129.32123E-3	115.00907E-6
612.46491E-12	-234.31989E-15	0.0000000E+0	-16.368114E-9	-3.6143992E+0	43.550948E-12	-437.75997E-3	294.31842E-6	-246.12506E-15	0.0000000E+0	-16.368114E-9	-4.3874483E+0	47.520946E-12	-145.59640E-3	147.67074E-6
610.22043E-12	-210.54457E-15	0.0000000E+0	-16.370358E-9	-928.15560E-3	55.360241E-12	-227.47023E-3	161.37408E-6	-237.51584E-15	0.0000000E+0	-16.370358E-9	1.1639022E+0	51.504929E-12	392.61821E-3	102.02183E-6
607.97595E-12	-228.95187E-15	0.0000000E+0	-16.372603E-9	-1.3250383E+0	49.889322E-12	-304.25674E-3	209.77814E-6	-239.42689E-15	0.0000000E+0	-16.372603E-9	5.6075945E+0	52.870902E-12	678.20519E-3	98.648976E-6
605.73146E-12	-228.46365E-15	0.0000000E+0	-16.374846E-9	-3.5757327E+0	52.139425E-12	-538.91969E-3	180.43823E-6	-250.66386E-15	0.0000000E+0	-16.374846E-9	810.33957E-3	50.643628E-12	163.66714E-3	122.98960E-6
603.48698E-12	-213.57761E-15	0.0000000E+0	-16.377092E-9	1.3045219E+0	53.932185E-12	-156.96734E-3	150.42683E-6	-244.34813E-15	0.0000000E+0	-16.377092E-9	2.1425185E+0	53.345248E-12	188.35942E-3	101.06804E-6
601.24250E-12	-242.60506E-15	0.0000000E+0	-16.379337E-9	5.2540984E+0	49.764737E-12	287.44343E-3	192.01943E-6	-239.40149E-15	0.0000000E+0	-16.379337E-9	1.6966109E+0	55.790868E-12	133.17576E-3	95.878248E-6
598.99802E-12	-231.27290E-15	0.0000000E+0	-16.381581E-9	-297.94067E-3	43.768163E-12	-84.820680E-3	266.33832E-6	-270.70129E-15	0.0000000E+0	-16.381581E-9	2.5275753E+0	42.275225E-12	161.36871E-3	238.80630E-6
596.75354E-12	-225.11032E-15	0.0000000E+0	-16.383826E-9	1.2319435E+0	50.041880E-12	19.641146E-3	211.35715E-6	-239.13960E-15	0.0000000E+0	-16.383826E-9	-1.1585977E+0	48.792435E-12	-151.97629E-3	149.96070E-6
594.50900E-12	-217.57106E-15	0.0000000E+0	-16.386069E-9	-694.34994E-3	49.979409E-12	-119.50102E-3	211.75545E-6	-254.80326E-15	0.0000000E+0	-16.386069E-9	4.4855742E+0	51.111729E-12	246.12005E-3	127.86218E-6
592.26452E-12	-234.33385E-15	0.0000000E+0	-16.388315E-9	1.6632339E+0	50.605891E-12	73.704354E-3	206.05321E-6	-222.26639E-15	0.0000000E+0	-16.388315E-9	-960.62380E-3	54.668867E-12	-268.14085E-3	99.029872E-6
590.02003E-12	-230.84895E-15	0.0000000E+0	-16.390558E-9	-2.1482613E+0	50.568789E-12	-234.92961E-3	202.36507E-6	-236.83299E-15	0.0000000E+0	-16.390558E-9	-733.35242E-3	56.629885E-12	-216.70428E-3	96.573713E-6
587.77555E-12	-240.13511E-15	0.0000000E+0	-16.392804E-9	-3.1149201E+0	50.092264E-12	-440.16236E-3	203.85947E-6	-242.63889E-15	0.0000000E+0	-16.392804E-9	-798.39808E-3	52.806714E-12	-194.65718E-3	156.57327E-6
585.53107E-12	-224.23877E-15	0.0000000E+0	-16.395047E-9	-2.1439879E+0	50.048209E-12	-419.63938E-3	207.54414E-6	-226.24925E-15	0.0000000E+0	-16.395047E-9	2.1486106E+0	49.443189E-12	79.195030E-3	189.59321E-6
583.28659E-12	-229.48581E-15	0.0000000E+0	-16.397292E-9	237.09305E-3	49.613702E-12	-248.42837E-3	214.34695E-6	-222.84134E-15	0.0000000E+0	-16.397292E-9	1.5560708E+0	50.999618E-12	-68.862401E-3	178.88875E-6
581.04210E-12	-234.98201E-15	0.0000000E+0	-16.399536E-9	570.24598E-3	53.677049E-12	-205.01697E-3	162.63255E-6	-228.47929E-15	0.0000000E+0	-16.399536E-9	-2.8387418E+0	45.635370E-12	-465.45646E-3	227.44127E-6
