Experiment	Z spectroscopy	
Saved Date	16.02.2019 17:36:39	
User		
X (m)	75.4743E-9	
Y (m)	15.394E-9	
Z (m)	-16.9806E-9	
Z offset (m)	700E-12	
Z sweep distance (m)	1.12E-9	
Settling time (s)	10E-3	
Integration time (s)	60E-3	
Final Z (m)	N/A	
Start time	16.02.2019 17:35:20	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	Z (m)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)
700.00000E-12	-238.30447E-15	0.0000000E+0	-16.280579E-9	-4.8968291E+0	48.704044E-12	-184.95280E-3	199.79487E-6	-237.35761E-15	0.0000000E+0	-16.280579E-9	-3.7305372E+0	46.833183E-12	-272.93706E-3	152.28169E-6
697.75552E-12	-252.37478E-15	0.0000000E+0	-16.282824E-9	-5.5710120E+0	45.619626E-12	-369.38912E-3	246.23433E-6	-227.58447E-15	0.0000000E+0	-16.282824E-9	-905.21395E-3	51.241702E-12	83.696336E-3	101.98750E-6
695.51104E-12	-242.73536E-15	0.0000000E+0	-16.285068E-9	-3.9640584E+0	52.792767E-12	-350.73569E-3	169.77642E-6	-228.48734E-15	0.0000000E+0	-16.285068E-9	1.2293885E+0	53.722821E-12	253.98898E-3	80.100428E-6
693.26656E-12	-235.41398E-15	0.0000000E+0	-16.287313E-9	-3.1366611E+0	51.643811E-12	-422.24026E-3	173.01255E-6	-232.22440E-15	0.0000000E+0	-16.287313E-9	-1.1958355E+0	50.330910E-12	-143.45867E-6	125.38530E-6
691.02207E-12	-232.22228E-15	0.0000000E+0	-16.289556E-9	2.7897599E+0	53.468528E-12	77.549487E-3	146.92159E-6	-233.32608E-15	0.0000000E+0	-16.289556E-9	-504.53842E-3	58.307879E-12	114.69799E-3	56.607325E-6
688.77754E-12	-228.20726E-15	0.0000000E+0	-16.291802E-9	4.7030859E+0	56.429448E-12	352.49701E-3	97.567026E-6	-224.12709E-15	0.0000000E+0	-16.291802E-9	135.75129E-3	51.722598E-12	133.41255E-3	156.64283E-6
686.53305E-12	-230.85405E-15	0.0000000E+0	-16.294045E-9	4.1379800E+0	48.710438E-12	414.08750E-3	176.04649E-6	-237.87209E-15	0.0000000E+0	-16.294045E-9	-257.46858E-3	48.974262E-12	137.51334E-3	182.38225E-6
684.28857E-12	-237.61906E-15	0.0000000E+0	-16.296291E-9	-242.02605E-3	47.330383E-12	93.036868E-3	197.16425E-6	-231.29786E-15	0.0000000E+0	-16.296291E-9	-3.0221162E+0	46.458091E-12	-59.893671E-3	200.12584E-6
682.04409E-12	-217.86171E-15	0.0000000E+0	-16.298534E-9	221.11991E-3	54.255715E-12	162.32556E-3	116.45010E-6	-214.99958E-15	0.0000000E+0	-16.298534E-9	273.61602E-3	42.648184E-12	236.76217E-3	224.69622E-6
679.79961E-12	-230.84049E-15	0.0000000E+0	-16.300779E-9	-2.7954736E+0	54.156145E-12	-143.85176E-3	101.00674E-6	-235.75879E-15	0.0000000E+0	-16.300779E-9	-1.5579425E+0	44.873820E-12	99.569857E-3	175.93949E-6
